responseid,accepted_item_in_recycling,not_accepted_item_in_trash,unsure_item_in_trash,not_accepted_item_in_recycling,unsure_item_in_recycling,not_accepted_rc_num_scale,unsure_rc_num_scale,not_accepted_trash_num_scale,unsure_trash_num_scale
R_3O160iKRafC0phA,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,5,3
R_T6lbRY3FBNwGGqJ,Extremely likely,Somewhat unlikely,Somewhat likely,Somewhat likely,Somewhat unlikely,4,2,2,4
R_2VvxLj6rY4u0X3Z,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,4,4,5,3
R_w7V3lmRJ1g76A7L,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3O1vo0TSVvTf06F,Extremely likely,Extremely likely,,Extremely unlikely,Neither likely nor unlikely,1,3,5,0
R_eFGZ7HinHAcx3J7,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_1N3NzNZRYEtxmei,Extremely likely,Neither likely nor unlikely,Neither likely nor unlikely,Extremely unlikely,Extremely unlikely,1,1,3,3
R_8e1AbnoBy1K9AL7,Extremely likely,Extremely likely,Somewhat likely,Neither likely nor unlikely,Somewhat unlikely,3,2,5,4
R_3iFuogFuyw3qi5j,Extremely unlikely,,,,,0,0,0,0
R_1DMDzMnBg0H2ej3,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely likely,2,5,5,5
R_3jVgFAVd5wVvFdC,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_pAbja210EwcSuZz,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_TbX9npjT6KHAYUx,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,4,4
R_2bP2YH08feJHGsK,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_21vTsDRphwCeJlo,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_0x3H9Wp4bfcOhl7,Extremely likely,Extremely unlikely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,1,4
R_1FCVn18TaZRKeKM,Somewhat unlikely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_2ur3OYF84qkTKAR,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_eg77MJYje16owmt,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_vVOOHl5w74hCCA1,Somewhat likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_1JEp3GUrukQJPeq,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3IbfpoQCG4S2h7q,Somewhat likely,Extremely likely,Extremely likely,,,0,0,5,5
R_1pJOD7oR8FVIGHh,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3nIcWnv3GxJDk1V,Extremely likely,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat likely,3,4,5,5
R_3lJt1qZDrcPmgiW,Extremely likely,Neither likely nor unlikely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,3,1,3,5
R_0Mz69uR9k9vtMhH,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_3hiITL8ObapeAZ7,Extremely likely,Somewhat unlikely,Neither likely nor unlikely,Extremely unlikely,Somewhat unlikely,1,2,2,3
R_3Mz1Cxck9NoCx69,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_3nVKsAeifhrIugV,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_5bYXsj56pU7f6cV,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_1Q3jy1tpQx1TKUe,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1ohbkP5PtYiuPmr,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3PYqb18pSKy7lhp,Extremely likely,Somewhat unlikely,Neither likely nor unlikely,Extremely likely,Neither likely nor unlikely,5,3,2,3
R_1dtxnQ5xSjBsyQE,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,4,4,5,4
R_290UNrNX5Oi3Lhn,Somewhat unlikely,Somewhat unlikely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,2,5
R_2trr358i8FgTE7w,Extremely likely,Somewhat unlikely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,3,1,2,5
R_1K6ATaM7vI4BcRD,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1lhgGvTNWBGshoI,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,4,4,5,5
R_1jlcq7aJbp5r1lh,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_1HpEn98o6udx7Ub,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_2q2xkp8MGGJWxOB,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2t9eluYQzyPkLZN,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3lWXInooCt5AxMk,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2D5DnYAGYLuaRHn,,,,,,0,0,0,0
R_et80dan6Ef8kFEt,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2VmePXR4Q5QsWOF,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3NINTRRxUUm0iMk,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_Rt86S0YxH1NkS8p,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_yIn9qXmbRP9mmfT,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,5,3
R_6sCdOxXdi41nIVr,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3drRvB9qjbxxHXj,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_3stZoCEhtHdYEv7,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat likely,1,4,5,4
R_CjdYvp0hSrfyrHr,Extremely likely,Extremely unlikely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,1,5
R_Df4j2oKjbx2X8sx,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_3PplAruzLhnrpq9,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat likely,2,4,5,4
R_2QS90n0J3CkpXwU,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,5,3
R_A7e9aYuaP55WUsF,Extremely likely,Somewhat likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,4,5
R_Q660StJyZoh1L5T,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Extremely unlikely,1,1,5,3
R_3yBqQpmbVGshha9,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_C84dQq259jLpO8N,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3Eu0VjnnWUqrmfq,,,,,,0,0,0,0
R_cZ7x3su4cZtoGqd,Neither likely nor unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_3Ea8yi3UX1CHZgm,Extremely likely,Somewhat unlikely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,2,3
R_DOAXv6EFqEA8lcR,Extremely likely,Somewhat likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,4,5
R_BuhiyXPqmlzoLe1,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,Extremely unlikely,1,1,5,1
R_2DT5y1bdb749YTF,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3DpyyQ5oN0DGLPR,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1oHJcf4ecInDPxg,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1NhubF3cXhwvowZ,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_Ado3IVhorJjHdCh,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1LRsd74Lmf0vUAk,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_3PpYOisHeizVCF5,Somewhat likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_2OHeOTGM58dFZNO,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat likely,1,4,5,4
R_1HiPZ5ABrguLMnZ,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1gC7uJJ7xmIAKZp,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,Neither likely nor unlikely,Neither likely nor unlikely,3,3,3,2
R_0vP8B5eAqk9Wfmx,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat likely,2,4,5,5
R_3RybQo6fuO5hFJJ,Extremely likely,Extremely unlikely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,1,5
R_2TtVDbRXPz15H2u,Extremely likely,Somewhat likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,4,5
R_1PTAnQAImfOHR2A,Extremely likely,Somewhat likely,Neither likely nor unlikely,Somewhat unlikely,Somewhat unlikely,2,2,4,3
R_2EzBMB21o1fJqKK,Extremely likely,Extremely likely,,Somewhat unlikely,Extremely unlikely,2,1,5,0
R_7Wja7XaJnubJ1jb,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_2CcUh3pSwZfWQhs,,,,,,0,0,0,0
R_389WQR8wb26jBzr,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_2tcnk5lVJHCsiCB,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,Extremely likely,1,5,4,1
R_3EiGE3R4dsrKKWg,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3g6CifOucuXDDgI,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,Neither likely nor unlikely,2,3,5,3
R_RRDSzLTJjizG3zb,Extremely likely,Somewhat likely,Somewhat unlikely,Extremely unlikely,Extremely unlikely,1,1,4,2
R_1ezBoKw5WPrGlcJ,Extremely likely,Neither likely nor unlikely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,3,4
R_1QGuzmYZhpAqOaJ,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Extremely unlikely,2,1,4,4
R_3CUi5Jdp5sielRl,,,,,,0,0,0,0
R_1j8GsAN0Sm6zUxn,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_qw6yTLyhXNubePT,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2CTwz6Cl7QuU2kA,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_1dKZiiotqUH0E3k,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_210QE9rrdqn40e3,Somewhat likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_zShtOsakLIltNx7,,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_2sSArqRYPEGqYLI,Somewhat likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_6XyVEfOMu0vaSuR,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,5,3
R_3emAWvo36f0jY75,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_qxbdsuk1BjrNhzH,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_3pyuuVlPMUEqTmh,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,4,4,4,4
R_124RzCXmJM8Hh6E,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_wMnZDJluSVlymad,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat likely,1,4,5,4
R_2zdx09Xfv1XB9JG,Extremely likely,Extremely unlikely,Extremely unlikely,Extremely likely,Extremely likely,5,5,1,1
R_2fJKvE9XiVUPXC5,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_3MhcDFDdwvIgCht,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_2Bmk5yZSdQjifuB,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_24emLcapgeSCov2,Extremely likely,Somewhat unlikely,Somewhat unlikely,Extremely unlikely,Extremely unlikely,1,1,2,2
R_2V8zGRBxp4udmtg,Somewhat likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3F3z0MqkIwO0nwR,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2S7grkq9ZpbDHpi,Somewhat likely,Extremely unlikely,Neither likely nor unlikely,Somewhat unlikely,Extremely likely,2,5,1,3
R_3R4oIUHMpsMA7cM,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_838V4xD0j17LPW1,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_1K2dzXwE3Z8vAyC,Somewhat unlikely,Extremely likely,Neither likely nor unlikely,Extremely likely,Extremely likely,5,5,5,3
R_2zd6lj5dzFvyZRH,Extremely likely,Extremely likely,Extremely likely,Neither likely nor unlikely,Neither likely nor unlikely,3,3,5,5
R_28ZKNY0yTfBHF4d,Somewhat likely,Somewhat likely,Extremely likely,Somewhat likely,Somewhat unlikely,4,2,4,5
R_ai0nXEtWuS9gdTr,Extremely likely,Extremely unlikely,Extremely unlikely,Extremely likely,Extremely unlikely,5,1,1,1
R_1Ed0sA8iht7WVKF,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_2cmYFmnKjkUfNL3,Extremely likely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,3,3,3,3
R_3EtGBFCePWNTPIR,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3MxiXkh9h4MtXJu,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1rdAzDCaoqhcZms,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_806OSf5x4LP0Mg1,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_cBcGjy1hlmPgJNL,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_1Kr3jHJCP0Lsh9T,Extremely likely,Somewhat likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,4,5
R_C8EkImjY7hNwEpj,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_21j2a2qnwcsEDd6,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_b3joVTISNL7sPbb,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,5,1,5,5
R_sq8sDAnUJeJb5Xr,Extremely likely,Somewhat likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,4,5
R_0OsaCJIIUfUmmFX,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_1hGOD5l0iXsekY0,Extremely likely,,Somewhat likely,Somewhat likely,Somewhat likely,4,4,0,4
R_ef9S9K1FpNIKbOV,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,4,4,5,5
R_3RmwF1aAhkNJBxs,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1QlRmun1GC5Y33A,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_2X54ciMYUheU6vO,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_2q4pDz3mT7iYZbu,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,4,4,4,4
R_6DKWjNhFycV20qB,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_3iIKotxLfrAGmyt,,,,,,0,0,0,0
R_6GzkLRJgPrtpd7z,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_yNFET7HqVThco49,Somewhat unlikely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_sbvbx5snp9giUHn,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat likely,1,4,5,5
R_1LU5HafDaXl52XS,,,,,,0,0,0,0
R_Rlu6s6l1IOB8WtP,,,,,,0,0,0,0
R_1BRXCyw8EEJqyPQ,,,,,,0,0,0,0
R_31BMmjdomNBxcOX,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_1E4erKJglRMe8NG,,,,,,0,0,0,0
R_3FWDPipzgermE3K,,,,,,0,0,0,0
R_wLhCBA3Qt23h5Ml,,,,,,0,0,0,0
R_DqvY6ovfAZAm43T,,,,,,0,0,0,0
R_wTzi2I0tjth8onf,,,,,,0,0,0,0
R_3fJehrH7esTeniw,,,,,,0,0,0,0
R_RzgnpPZ3McSb8SR,,,,,,0,0,0,0
R_1I4ckt4C85us6cG,,,,,,0,0,0,0
R_8f6mIbZzplHBx17,,,,,,0,0,0,0
R_AoEpZ97rb7sA1yN,,,,,,0,0,0,0
R_W0Y8VZK3fKh4Mdr,,,,,,0,0,0,0
R_Z8A2CnTQ9tZpKcF,,,,,,0,0,0,0
R_USWTMdoHPtDMfUl,,,,,,0,0,0,0
R_3n7QurvmC56XeNs,,,,,,0,0,0,0
R_3PYKj1PXnETWzFU,Extremely likely,Somewhat likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,4,5
R_3CCz2gtvDTS4M2x,,,,,,0,0,0,0
R_3EbQTBFMmqNGvgd,,,,,,0,0,0,0
R_11Z5dt9kDZclxjj,,,,,,0,0,0,0
R_1eFCtGsuSozkzge,,,,,,0,0,0,0
R_2uwkkwsXfACsDyD,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Extremely unlikely,Extremely unlikely,1,1,3,1
R_2AKy89OKqYXoKG0,,,,,,0,0,0,0
R_qLbIagSmlwnXrd7,,,,,,0,0,0,0
R_1pJMbs4md2zLRSI,,,,,,0,0,0,0
R_1ePD7SXAPku8XPG,,,,,,0,0,0,0
R_2rvkUsj0T0hgDEv,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,4,1,5,5
R_73ZMkwKfisJrK13,,,,,,0,0,0,0
R_1LMcy8Gqeh1K8nG,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_cMj9qjWjSBgNphn,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat unlikely,2,2,5,5
R_qw0juk4RzZptHDb,,,,,,0,0,0,0
R_1EXnqOfDqYaeIa8,Extremely likely,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,3,2,5,5
R_20Y8xuoOR0H50Be,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,5,5,5,5
R_2c0H8WWwUTc7DK9,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_10u6jtz7PG8acWS,,,,,,0,0,0,0
R_1DIkaYsjt0B06r9,,,,,,0,0,0,0
R_wM0fJq8E8T9FTpv,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_29ncRIk8PR9hcag,,,,,,0,0,0,0
R_27m6go1Kpx3KiJo,Extremely likely,Extremely unlikely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,1,4
R_2Uhp9eIUMdmotk4,,,,,,0,0,0,0
R_1HjA515m8pkbwAC,,,,,,0,0,0,0
R_3nf8HJLLUFiwx6q,,,,,,0,0,0,0
R_umNZG9Z2pSF2WPL,Extremely likely,Somewhat likely,Neither likely nor unlikely,Somewhat unlikely,Neither likely nor unlikely,2,3,4,3
R_3QM0u6RqLM3tOHC,,,,,,0,0,0,0
R_1ocDiDnkhmV0Pye,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Extremely likely,2,5,4,4
R_bNKysuPOz2djVV7,Extremely likely,Extremely unlikely,Extremely unlikely,Extremely unlikely,,1,0,1,1
R_bO3EPHNadLgDZ5v,,,,,,0,0,0,0
R_2aRYZNtppuXTodk,,,,,,0,0,0,0
R_9HTWV6pGy4SCIzn,Somewhat likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,4,2,5,5
R_2rD5J3AoO0FBtNL,,,,,,0,0,0,0
R_1Fybcd6JK1iqxla,,,,,,0,0,0,0
R_2wiuNjpc8iLjcXW,,,,,,0,0,0,0
R_3nMgAs26FmrlIHx,,,,,,0,0,0,0
R_0Bt8UJOZG1Pcz4Z,,,,,,0,0,0,0
R_2OJaJNbhHmfg5lB,,,,,,0,0,0,0
R_3GAMcFPPrEJYm1m,,,,,,0,0,0,0
R_1FPsV0eNewP0h8t,,,,,,0,0,0,0
R_2SubvuQ2xBjMgjC,,,,,,0,0,0,0
R_2BmtwT75sYbkaen,,,,,,0,0,0,0
R_2w6a38YsVxyze2x,,,,,,0,0,0,0
R_tJVj4r8uQ0PXTC9,,,,,,0,0,0,0
R_786xKhNmVap59Rf,,,,,,0,0,0,0
R_3HqqW5TIT8IJaIl,,,,,,0,0,0,0
R_12xlUVoPBcNNul2,,,,,,0,0,0,0
R_2v6W1rdgnbh5XgH,,,,,,0,0,0,0
R_1jGQnwtcxtifBTX,,,,,,0,0,0,0
